Corpus,Gender,Vowel,F1.50_norm,F2.50_norm
CBAS,Female,a,0.6851330376009971,1.4529019084348724
CBAS,Female,e,0.5255479755801972,1.7433855021861755
CBAS,Female,i,0.37923291861074704,1.4702143911413046
CBAS,Female,o,0.5206990107418645,0.9348632570979554
CBAS,Female,u,0.3729155780933733,0.9185417712528396
CBAS,Male,a,0.6390900298937229,1.3677229821607
CBAS,Male,e,0.47998543544377403,1.7131629214463633
CBAS,Male,i,0.41549420695020345,2.1177692940062616
CBAS,Male,o,0.44594063128921,0.9410431712038051
CBAS,Male,u,0.3862916509491092,0.8837092784544115
DIMEx100,Female,a,0.6283456626725454,1.5654824389028585
DIMEx100,Female,e,0.44578131222047734,1.7671092109398774
DIMEx100,Female,i,0.28667845489468063,2.1927489362413586
DIMEx100,Female,o,0.4502949818102009,1.1992885261039516
DIMEx100,Female,u,0.3286372470814763,1.0966419006667378
DIMEx100,Male,a,0.5850452205203921,1.5455560346579127
DIMEx100,Male,e,0.41729321941196307,1.7838636833551802
DIMEx100,Male,i,0.2995308074426762,2.2069282783003383
DIMEx100,Male,o,0.43440345357946386,1.1450220945784477
DIMEx100,Male,u,0.3294361546897077,1.2441246187644135
