Corpus,Gender,Vowel,prev_ph,F1.50_norm,F2.50_norm,dur_ph,Dur_ms
CBAS,Female,a,p,0.6369441160855406,1.574071009830587,0.06499999999998707,64.99999999998707
CBAS,Female,a,s,0.6555388524442497,1.4030490181764468,0.09904761904762227,99.04761904762228
CBAS,Female,a,t,0.6804447623109928,1.4896190427711493,0.1416666666666685,141.6666666666685
CBAS,Female,e,p,0.5016892869266848,1.6782233921882646,0.06888888888889413,68.88888888889413
CBAS,Female,e,s,0.5258746688254575,1.5553581786122765,0.08826923076922838,88.26923076922839
CBAS,Female,e,t,0.5145248729888363,1.6151347218292336,0.09918367346938832,99.18367346938832
CBAS,Female,i,p,0.3242213412026525,1.393842668585884,0.09714285714285913,97.14285714285913
CBAS,Female,i,s,0.3627566366262731,1.8593437372499677,0.0728571428571455,72.85714285714549
CBAS,Female,i,t,0.38008068127255623,2.131091239393337,0.08999999999999275,89.99999999999275
CBAS,Female,o,p,0.4783168711172969,0.7644935587304155,0.11749999999999854,117.49999999999854
CBAS,Female,o,s,0.49998740305013156,1.0602591806472896,0.14454545454545487,144.54545454545487
CBAS,Female,o,t,0.5085750433409952,1.0500933363927094,0.13081081081080995,130.81081081080995
CBAS,Female,u,p,0.3452564357397389,0.7469631297505869,0.08333333333333333,83.33333333333333
CBAS,Female,u,s,0.39414902804022117,1.1260000902205394,0.08000000000000032,80.00000000000033
CBAS,Female,u,t,0.36305871322616723,1.0997496020892148,0.10615384615384361,106.15384615384362
CBAS,Male,a,s,0.625884714985668,1.3354381955092691,0.08375000000000236,83.75000000000236
CBAS,Male,a,t,0.6826750764587376,1.463555175109356,0.14099999999999396,140.99999999999397
CBAS,Male,e,p,0.467762043090948,1.5078565529614947,0.06000000000000938,60.00000000000938
CBAS,Male,e,s,0.4941497871064861,1.6932536020999804,0.08928571428571404,89.28571428571404
CBAS,Male,e,t,0.5020551702073653,1.7147818197568947,0.11039999999999829,110.39999999999829
CBAS,Male,i,p,0.4006958817752215,2.098669301278007,0.09999999999999787,99.99999999999787
CBAS,Male,i,s,0.4210250144717803,2.0450281499642027,0.0699999999999977,69.9999999999977
CBAS,Male,i,t,0.3377562053234968,2.042903572358016,0.10000000000000142,100.00000000000142
CBAS,Male,o,p,0.4689236635383673,0.8639638610955874,0.09999999999998958,99.99999999998958
CBAS,Male,o,s,0.4308856038920644,0.9356244559757421,0.1390909090909118,139.0909090909118
CBAS,Male,o,t,0.42458112683202975,0.9826907600102739,0.12631578947368657,126.31578947368658
CBAS,Male,u,p,0.41964205954861034,0.906223709216774,0.07500000000000284,75.00000000000284
CBAS,Male,u,s,0.37879284610524994,0.9518198270991665,0.08333333333334281,83.33333333334281
CBAS,Male,u,t,0.3832961696933447,0.984747651284708,0.12999999999998835,129.99999999998835
DIMEx100,Female,a,p,0.6426667103670884,1.4846476993605393,0.06996774193548388,69.96774193548389
DIMEx100,Female,a,s,0.6177026756369342,1.5259361704500862,0.08383333333333333,83.83333333333333
DIMEx100,Female,a,t,0.6185626630859545,1.551612196427712,0.07556818181818183,75.56818181818183
DIMEx100,Female,e,p,0.42720010691675364,1.717532521130221,0.05855555555555552,58.55555555555552
DIMEx100,Female,e,s,0.43642476554203646,1.706183581258634,0.06728813559322035,67.28813559322035
DIMEx100,Female,e,t,0.4598659405426474,1.7749806494964127,0.06292307692307691,62.92307692307691
DIMEx100,Female,i,p,0.30464115487586624,2.130380712595924,0.07300000000000006,73.00000000000007
DIMEx100,Female,i,s,0.29871258375518767,2.128008272494898,0.06015909090909088,60.15909090909088
DIMEx100,Female,i,t,0.29652554942711645,2.133559646181812,0.06799999999999999,67.99999999999999
DIMEx100,Female,o,p,0.46065246595192627,1.096309034722411,0.06150000000000002,61.50000000000002
DIMEx100,Female,o,s,0.4396194178662921,1.2425495658757333,0.07300000000000002,73.00000000000003
DIMEx100,Female,o,t,0.46145132412069473,1.248846634618363,0.0699677419354838,69.9677419354838
DIMEx100,Female,u,p,0.30984931904082624,0.8312300510478732,0.05799999999999983,57.99999999999983
DIMEx100,Female,u,s,0.30912644613419515,1.1320124742725644,0.050434782608695626,50.43478260869563
DIMEx100,Female,u,t,0.35074490570706596,1.169960733731435,0.07883333333333338,78.83333333333339
DIMEx100,Male,a,p,0.5900650384245069,1.3552976204057907,0.057333333333333375,57.33333333333338
DIMEx100,Male,a,s,0.5666408458043735,1.5021805770314978,0.08200000000000002,82.00000000000001
DIMEx100,Male,a,t,0.570994171915833,1.5439069010078479,0.08453846153846155,84.53846153846155
DIMEx100,Male,e,p,0.44123418081952115,1.654357849351093,0.04399999999999994,43.99999999999994
DIMEx100,Male,e,s,0.40036047690169557,1.7817833531729799,0.06681481481481481,66.81481481481481
DIMEx100,Male,e,t,0.4119442268716367,1.7943147757605984,0.062349999999999975,62.34999999999997
DIMEx100,Male,i,p,0.2834621600621383,2.0026772319194253,0.04899999999999993,48.99999999999993
DIMEx100,Male,i,s,0.28317454561132954,2.0708017971070394,0.05999999999999999,59.99999999999999
DIMEx100,Male,i,t,0.29717424322607416,2.162092693193701,0.06781818181818183,67.81818181818183
DIMEx100,Male,o,p,0.4455614774520341,1.0437603995644769,0.060333333333333336,60.333333333333336
DIMEx100,Male,o,s,0.4411370989385136,1.1465745173021804,0.06837500000000002,68.37500000000001
DIMEx100,Male,o,t,0.43332823312851104,1.1791686254622826,0.0756875,75.6875
DIMEx100,Male,u,p,0.3223367530335484,0.8507400956820353,0.06966666666666677,69.66666666666677
DIMEx100,Male,u,s,0.313751508076756,1.2341893079339843,0.045142857142857144,45.142857142857146
DIMEx100,Male,u,t,0.3370055071586456,1.248207523126087,0.05449999999999996,54.49999999999996
